Year,2550,2554
ร่างกายแข็งแรง,76.9,76.4
เพื่อนชวน,8.5,6.2
มีปัญหาสุขภาพ,6.6,5.7
คลายเคลียด,3.1,3.8
ลดน้ำหนัก,2.6,4.8
อื่นๆ,2.3,3.1
